iso3,year,fsw-pse,fsw-prev,fsw-new_inf,msm-pse,msm-prev,msm-new_inf,pwid-pse,pwid-prev,pwid-new_inf
ERI,2024,11474,0.06283772006275057,56,5541,0.017144919689586716,3,2398,0.060050041701417846,7.967347
ETH,2024,416212,0.09301269545327862,1964,258085,0.01580874518085127,24,84722,0.03971813696560515,133
FJI,2024,2227,0.05657835653345308,15,14446,0.0041533988647376435,7,11449,0.2187090575596122,1176
GAB,2024,12382,0.28856404458084317,419,6318,0.02263374485596708,2,2206,0.1527651858567543,36
GHA,2024,34856,0.023726187743860455,56,62208,0.19801311728395063,862,28397,0.03947600098601965,124
GIN,2024,38849,0.041751396432340604,133,19555,0.08038864740475582,63,10194,0.21296841279183834,122
GMB,2024,6932,0.09809578765147144,58,3760,0.2752659574468085,82,2271,0.041391457507705856,13
GNB,2024,5932,0.2580917060013486,149,3256,0.022727272727272728,2,1786,0.04311310190369541,6.8145
GNQ,2024,7749,0.17886178861788618,150,5665,0.05383936451897617,20,1644,0.10948905109489052,20
GTM,2024,99479,0.011238552860402698,56,162785,0.045790459808950454,191,21597,0.04005185905449831,72
HND,2024,40902,0.012542173976822649,23,121288,0.05843941692500495,138,12374,0.013980927751737515,9
HTI,2024,109256,0.03632752434648898,133,140091,0.05041009058397756,103,13564,0.11316720731347685,93
IDN,2024,144966,0.035325524605769626,1067,435314,0.18934608121953347,3526,22867,0.28438360956837366,346
IND,2024,2616879,0.010541182836501038,4001,10002358,0.026377780119447834,4603,1650707,0.06122588684727211,9671
IRN,2024,152991,0.011288245713800158,199,547895,0.0043603245147336624,121,197340,0.01886591669200365,345
JAM,2024,13603,0.019039917665220906,12,16257,0.28332410653872175,212,1795,0.18997214484679667,43
KEN,2024,253272,0.20750023689945987,4100,104357,0.1953390764395297,418,40322,0.12107534348494618,267
KHM,2024,57180,0.011105281566981462,61,121790,0.03704737663190738,19,3718,0.09064012910166756,20
LBN,2024,4298,0.005583992554676594,2,20924,0.07450774230548653,73,2974,0.008406186953597848,3.164519
LBR,2024,15538,0.10670613978633028,119,5917,0.4527632246070644,64,4711,0.07004882190617703,19
LSO,2024,7231,0.34739316830313927,242,4575,0.24524590163934426,35,1438,0.1620305980528512,20
MAR,2024,79267,0.013826687019819093,54,84582,0.05217422146556005,206,2079,0.046657046657046654,7
MDA,2024,16967,0.05516591029645783,25,13710,0.08446389496717724,56,27164,0.16437196289206302,435
MDG,2024,258253,0.035132215308244244,1555,147242,0.2233533910161503,3580,20491,0.1844224293592309,721
MDV,2024,2993,0.003007016371533578,1,5794,0.0031066620642043494,1,1993,4.973537380832915e-4,0.31931800000000005
MEX,2024,133531,0.005227250600984041,29,784248,0.11331492079036223,2777,73598,0.07300470121470692,568
MKD,2024,3028,6.605019815059445e-4,0.213784,11026,0.05414474877562126,55,5363,7.458512026850643e-4,0.592832
MLI,2024,46728,0.07085687382297552,237,30434,0.11171715844121706,122,18275,0.047606019151846785,82
MMR,2024,44174,0.05473808122424956,56,178414,0.06371697288329391,219,65373,0.09357074021384976,1224
MNE,2024,1132,0.009717314487632508,0.87695,2330,0.11459227467811159,19,2839,0.0052835505459668895,2.755526
MOZ,2024,105147,0.15426973665439814,1081,69144,0.05241235682054842,76,20516,0.2992298693702476,469
MRT,2024,14332,0.01569913480323751,16,11151,0.17074701820464533,19,3909,0.018930672806344334,6.66838
MUS,2024,6331,0.20060022113410203,178,6491,0.16068402403327683,81,11627,0.29121871505977465,374
MWI,2024,78221,0.3495864281970315,2371,32959,0.0939652295275949,29,12326,0.10887554762291092,76
MYS,2024,42543,0.04372047105281715,70,252813,0.12832014176486178,1103,96957,0.08547087884319853,857
NAM,2024,14818,0.15602645431232284,62,7806,0.07097104791186266,3,2087,0.12601820795400095,6.846721
NER,2024,64041,0.05797848253462626,210,33841,0.045093230105493334,69,16586,0.11654407331484384,227
NGA,2024,969457,0.14569702421046007,9140,430836,0.19842585113593109,1717,203630,0.05211903943426804,581
NIC,2024,21425,0.011341890315052509,17,91898,0.06062155868462861,228,8195,0.026235509456985967,38
PAK,2024,142049,0.03375595745130201,891,747753,0.09711896842941453,10900,74842,0.22912268512332648,4282
PER,2024,126902,0.019140754282832424,204,362729,0.06977936696542046,796,38182,0.18587292441464565,424
PHL,2024,146976,0.03437295885042456,573,1904660,0.050783866936881125,14480,149367,0.26766287064746563,7926
PNG,2024,204682,0.14284109008119913,3412,121483,0.071293925899097,566,12956,0.030101883297313985,57
PRK,2024,40093,0.01506497393559973,130,161173,0.01901683284421088,321,28639,0.10213345438039037,657
PRY,2024,18502,0.011674413576910604,19,83934,0.15843400767269522,736,7665,0.07240704500978473,74
RUS,2024,256304,0.22102269180348336,2299,430153,0.2457451185973363,9827,652723,0.22078584636974644,20693
RWA,2024,42820,0.24617001401214386,551,24166,0.06037407928494579,12,8741,0.07710788239331884,18
SDN,2024,321969,0.005820436128944091,276,222849,0.0104285861726999,179,26408,0.061458648894274465,294
SEN,2024,40616,0.027944652353752215,59,27905,0.18745744490234725,181,14036,0.05628384155029923,55
SLE,2024,24839,0.10350658239059543,167,15019,0.09914108795525667,39,8659,0.0482734726873773,28
SLV,2024,24654,0.01427760201184392,13,84179,0.054859287945924755,98,7359,0.08180459301535535,44
SOM,2024,36765,0.014252685978512172,45,63102,0.008747741751450034,23,8839,0.02726552777463514,24
SRB,2024,15524,0.00811646482865241,7,40503,0.04288571216946893,70,15374,0.01918823988552101,44
SSD,2024,56363,0.163511523517201,1107,19951,0.09568442684577214,115,7451,0.15031539390685814,124
STP,2024,676,0.008875739644970414,0.419257,449,0.0200445434298441,0.200538,181,0.11602209944751381,1.154332
SUR,2024,5576,0.024748923959827834,11,7972,0.09420471650777722,55,683,0.3206442166910688,24
SWZ,2024,4693,0.42126571489452375,160,3758,0.13251729643427354,5,814,0.17567567567567569,6.961632
SYR,2024,58897,6.282153590165883e-4,5,131410,0.0021840042614717295,19,14586,0.004456327985739751,12.616176
TCD,2024,105947,0.06975185706060577,653,36849,0.09107438465087248,148,13552,0.04420011806375443,55
TGO,2024,26921,0.04665502767356339,191,16347,0.08001468159295283,73,7811,0.04314428370247087,50
THA,2024,97792,0.0156965804973822,82,763594,0.08696768177853677,1091,57662,0.22498352467829766,633
TLS,2024,6424,0.005136986301369863,7,14957,0.012769940496088789,9,40,0.2,1
TUN,2024,29654,0.00580022931139138,44,58015,0.06381108334051538,290,11986,0.08726847989320874,180
TZA,2024,201806,0.08230181461403527,811,135941,0.08636835097579097,226,43046,0.1488872369093528,427
UGA,2024,155078,0.25508453810340603,3093,92761,0.095481937452162,172,31089,0.10038920518511371,180
UKR,2024,103245,0.13423410334640903,72,153725,0.03955114652789071,88,313900,0.2239885313794202,7104
UZB,2024,26236,0.07447781674035676,203,147218,0.029649906940727357,181,55142,0.07253998766820209,664
VNM,2024,85962,0.019206160861776133,142,330782,0.08712989219485945,705,66829,0.08324230498735578,682
YEM,2024,86685,0.0010036338466862778,14,188896,0.06519989835676775,1047,21545,0.034485959619401256,133
ZAF,2024,214021,0.4466290691100406,8048,157479,0.241435365985306,633,48261,0.18613373117009593,610
ZMB,2024,80115,0.3314610247768832,1517,41827,0.20109020489157722,66,14532,0.09083402146985962,31
ZWE,2024,57395,0.31161250980050526,1087,24245,0.11462157145803259,21,8506,0.12708676228544558,28
