indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_024,195,425,247.86996939499244,0.05829877877771682,0.01332070742078402,0.03705246193465443,0.09058197067530438
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_024,255,846,484.00665597182086,0.09843964599184048,0.0132965138831878,0.07527646375565754,0.12774570170452929
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_024,58,75,43.49998284278351,0.26721602213024365,0.06618795785332411,0.15825123695351642,0.4142825248438306
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_024,219,512,300.1168604286503,0.09290271774204192,0.01534449944101873,0.06688374839014334,0.12765876968979392
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_024,206,409,227.90386623519404,0.1338805363294946,0.02343129255006177,0.09422340121077936,0.1867867465405761
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_024,262,909,518.530166192036,0.1090078820742687,0.01498163263745659,0.08292585955365733,0.14202286210881895
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y015_024,12,12,9.295673617686198,0.2856182031824708,0.1477697266760134,0.08816874338402549,0.6230887610431383
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_024,273,1043,594.358156554733,0.10830536075994672,0.01344558973958046,0.08462974070608544,0.13760866103270036
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y025_049,285,1396,741.040790400551,0.36227920357190574,0.02155371089556042,0.3211840139191492,0.4054915569537114
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y025_049,151,249,144.03347384609313,0.48732793244962985,0.04005966075994972,0.40975870736478326,0.5655123716515966
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y025_049,277,1044,572.0039366682071,0.4158291045021402,0.0235077751498555,0.37061207655009615,0.4625088749183874
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y025_049,244,601,312.4967836277499,0.32356864956987985,0.02742864961285559,0.27228921819992846,0.3794695215126559
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y025_049,273,881,473.8630954908248,0.38124155832323814,0.02406107208354156,0.33532564980342416,0.4293831145396683
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y025_049,263,764,410.2670757409689,0.38750166927700497,0.02656458440234573,0.3368879195717877,0.4406662919768119
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y025_049,285,1623,870.9450207473031,0.3828574289308218,0.01997577862023967,0.3445370926869112,0.422691341914266
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y025_049,22,22,13.214731671410512,0.4731725061456811,0.13830798650413695,0.23239113755531704,0.7271145973762938
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y025_049,290,1844,973.671521372996,0.38484059221285066,0.01874554318991601,0.3488161143907891,0.4221734997016232
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_019,88,119,70.22537061066201,0.10566034861157136,0.0369045267864604,0.05208935888313593,0.20255323862191943
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_019,176,327,187.94098084876913,0.04763235980805905,0.01312062960741563,0.02758997206936094,0.08102118706416951
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_019,204,433,249.75246946463855,0.06476120071992805,0.01351648633495316,0.04279931758841689,0.09685224965606902
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_019,11,13,10.535750339492838,0.02819023006883222,0.03068570045782516,0.0032187538650013,0.20671653301592047
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_019,182,341,196.97502516160824,0.04696344497421174,0.01273109476909169,0.02744392130753509,0.07923516855710644
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_019,80,105,61.61672846482334,0.11288620443924306,0.0407804675915057,0.05418028620148234,0.22038037031635388
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_019,207,445,257.4691342597685,0.0640399149783543,0.0131790613593444,0.04257362478404992,0.09525301686243136
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y015_019,1,1,1,0,0,NA,NA
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_019,218,492,284.43430683646227,0.06220218942919586,0.01244574409966509,0.04183385196022468,0.09154015008405324
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y020_024,198,377,209.47160329566432,0.17287987196658056,0.02616284814632574,0.12742050672512106,0.23027751456229892
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y020_024,82,98,60.7291734153291,0.0873397053216176,0.0356527204121953,0.03830209644350148,0.18695456366828264
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y020_024,203,413,235.0170511156796,0.13149839669180607,0.02072441293024442,0.0959169745272882,0.17768498513404463
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y020_024,52,62,35.18267685546329,0.3046316954236615,0.07660529445267357,0.17739065373700347,0.4708956220406764
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y020_024,123,171,103.84270521749532,0.1717384644749622,0.0375644506813864,0.10997943305561834,0.25812032522263606
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y020_024,178,304,166.29558805493508,0.14155321275172883,0.02520824944147723,0.09894163525814302,0.19847419531807825
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y020_024,212,464,262.0752747228345,0.14944180863262027,0.02301816468893207,0.1096895915124586,0.20035840856810672
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y020_024,11,11,8.60246142268916,0.30022439000896767,0.15574372781276377,0.0911900405923076,0.6471947822726194
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y020_024,237,551,311.57650176820323,0.1461622950644721,0.01971513199924622,0.1115853028700504,0.18917223647855425
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y025_029,214,421,226.5305757468381,0.2599553847658999,0.02796465435600114,0.20897648675204444,0.3183651822659424
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y025_029,44,47,25.01482588531932,0.28736802864827327,0.08230923188636324,0.15499371281646612,0.4699255292953534
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y025_029,178,321,176.37781095207995,0.2862899681838553,0.03385913961070108,0.22473958237374955,0.356936287879326
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y025_029,117,147,74.91876809296043,0.21169619596855976,0.04536775220389007,0.13615947628546043,0.3139102495598625
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y025_029,150,207,106.836334857216,0.23440690488928967,0.0403016831646142,0.16468910558284802,0.3222523435831361
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y025_029,160,261,144.7505036120804,0.28617655556668864,0.03789407949233078,0.21795865974149575,0.3657597284288862
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y025_029,220,458,245.1771047311428,0.2617273496310268,0.02768355925229106,0.21118214473445415,0.3194706928934069
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y025_029,10,10,6.120815503142818,0.3279934658737816,0.1813650327436148,0.08866792037989785,0.7100157289870268
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y025_029,233,533,278.069367572937,0.2705430337745603,0.02458023449367822,0.22513541282029464,0.321311289263196
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y030_034,195,345,174.7940632523354,0.4038109585610076,0.04049082455526175,0.327557494571303,0.4850122678461555
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y030_034,49,55,28.85874354281052,0.5431975296473319,0.0922942580587724,0.3645213963284379,0.7114090094408682
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y030_034,166,263,137.45767433451945,0.4376272815091659,0.04181110551164804,0.3580651558158201,0.520532787578056
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y030_034,103,137,65.69796722084254,0.4017082309791239,0.06261457379236766,0.2872096722458502,0.5280379981059036
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y030_034,140,198,98.22293666601392,0.4426653469183864,0.0509741570312671,0.34630825089875067,0.5435401929981513
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y030_034,142,202,104.7983423661326,0.41074486371250374,0.05081021700801444,0.31597243939323716,0.5126396077992397
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y030_034,211,396,200.29835376400496,0.4306997279327297,0.03658638226763563,0.36090304669031775,0.5033632265223869
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y030_034,4,4,3.110003074523432,0.2496653173038056,0.26140844273441566,0.02113672333217233,0.8367966179362241
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y030_034,224,447,227.1955526884778,0.40308440345956315,0.03746989764615712,0.33228778418662164,0.4781629901285398
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y035_039,170,272,139.95597628225426,0.45435040716547054,0.04783115746271819,0.3632583587972716,0.5486043106097865
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y035_039,39,44,24.226291329289374,0.6172113499729167,0.10009499612670504,0.4127439336603688,0.7871934636142252
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y035_039,145,195,100.9962432866795,0.5010131615488114,0.0524884740929217,0.39952345357964025,0.6024194519799067
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y035_039,96,121,63.579670224963365,0.4415020050186206,0.06227312030172333,0.32518239891113804,0.5646164408871958
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y035_039,122,169,89.22493214193867,0.4976743676675452,0.05268683540346008,0.39595007249636793,0.5995915541007806
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y035_039,117,147,75.18894518513864,0.45982621379834177,0.05922871061037011,0.34787251106261147,0.5759866221474522
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y035_039,187,314,162.96629699280544,0.4772182200109179,0.0444139433526115,0.39171391163256586,0.564078940362245
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y035_039,2,2,1.6810342998227896,1,0,NA,NA
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y035_039,200,347,173.70570495582373,0.5062827019859852,0.04592060657813766,0.41704018782197855,0.5951266461102961
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y040_044,138,188,97.28421303435373,0.3701953708182843,0.05341303901411727,0.2728141315831416,0.47942009761620075
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y040_044,44,49,33.52393122306421,0.5241589367589737,0.08457876827608131,0.3617155325442631,0.6816463463969888
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y040_044,108,135,78.57280164492796,0.4419554119060593,0.05262475381381126,0.34266592124020107,0.5461127566973293
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y040_044,85,102,51.8477666733937,0.3535835820673347,0.07553624167619839,0.22251645300104383,0.5111015310480923
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y040_044,118,156,87.67493959342406,0.4219858117875913,0.05732057583876057,0.3153499240224439,0.5364282222515006
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y040_044,70,81,42.70619027680709,0.37309249261715927,0.07067873353861409,0.2476400200073976,0.5183151608347483
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y040_044,157,234,128.75266852941604,0.4007456135334164,0.04604470092756021,0.31471840903529924,0.49335860092330625
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y040_044,3,3,2.0827844519515715,0.9999999999999998,1.0419305407981931e-16,0.9999999999999992,1
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y040_044,174,272,148.5772464240856,0.39841047544235314,0.04233215538902737,0.31902394729348793,0.4835249386151213
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y045_049,120,170,106.40697826020217,0.38973942582261695,0.0485009661695083,0.29983486188694086,0.4878196694023031
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y045_049,46,54,33.06663362564711,0.4708885222317491,0.07896907852729144,0.3234876396182364,0.6235477878170058
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y045_049,99,130,78.9768218416061,0.5218262964683331,0.05587682297129151,0.4130085671207371,0.6286111644131005
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y045_049,76,94,61.59938822301907,0.22474278605773837,0.05233871759456449,0.1385960413019636,0.3431075093080938
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y045_049,106,151,93.50682211948956,0.34370311615479515,0.04811713736632391,0.2563704553037051,0.443060445276275
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y045_049,63,73,44.359522358379515,0.5489789030794138,0.07688482482633828,0.3984182571302879,0.6910754353593125
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y045_049,140,221,135.77565585354446,0.40620205283775906,0.04292359585519056,0.3255288336321869,0.4922758849470709
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y045_049,3,3,2.084786554053074,1,0,NA,NA
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y045_049,149,245,148.15512221729716,0.4159691250431849,0.04330009826148262,0.3343276288606169,0.50249761824186
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_049,238,596,319.9010541721219,0.504617746683911,0.02391386703998888,0.45784387963972856,0.5513109248181958
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_049,97,139,83.36009541072515,0.4901305063624459,0.05737363053496931,0.3800209217590849,0.6012061374362055
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_049,214,514,282.30129328946225,0.49533678958702,0.03195055224097696,0.4331126136242007,0.5577057561868309
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_049,152,221,121.66020655408634,0.517390910766704,0.04631146626640422,0.42704365570964054,0.60661527775257
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_049,204,380,216.13344340298093,0.49904998170029735,0.03532480749036361,0.4302717567659318,0.5678641776360864
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_049,187,355,186.69914913434215,0.5038850581416711,0.03409489588775437,0.43738674169754704,0.5702462111660525
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_049,252,718,391.68091041773056,0.5050790955828364,0.02522564427181068,0.4557488940826016,0.5543106061533308
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y015_049,16,17,12.231900669518325,0.31953625134857755,0.12361093187563836,0.1335247567034364,0.5886382924208313
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_049,259,810,432.82632021717194,0.4412110299458265,0.02332583764419431,0.3961140060210828,0.4872992730505722
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_024,71,83,43.06517953595644,0.25651273021905074,0.07413011774081536,0.13871460505301816,0.4249856966527395
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_024,27,30,17.742222489974807,0.1336091612913623,0.07543099999136979,0.04122605708683508,0.3561188203330194
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_024,76,92,48.76482968643496,0.21203861794260767,0.08059473392865535,0.0946511259565712,0.40920840893970256
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_024,19,21,11.291349144794456,0.29311970157461753,0.13460396802994612,0.10400141494800529,0.5969983687893382
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_024,47,55,31.720075917382076,0.18756021242051504,0.06844228584595588,0.08736333663691814,0.35764008800534497
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_024,53,58,29.246770438879757,0.2602702268084674,0.11137171185432476,0.10171289351856842,0.5222868758751121
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_024,86,109,57.307383026395456,0.23495440444350077,0.06372304256380981,0.1329220331358382,0.380901927279372
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y015_024,4,4,3.1117868071029657,0,0,NA,NA
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_024,97,122,65.97257246564017,0.20594535065199332,0.05827610628916039,0.11425534404759367,0.3427439558018082
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y025_049,223,513,277.41628131758483,0.5480250356059477,0.02797734753442463,0.4928288501449666,0.6020645668347312
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y025_049,82,109,66.73391167277329,0.5595075467706284,0.0631340397954221,0.4346485648147716,0.6772663266676308
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y025_049,194,422,233.54397059508253,0.5536854270864596,0.0360007347704521,0.4825172166515082,0.6227189785196197
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y025_049,142,200,110.49929479565778,0.5429226952084323,0.04697903433015367,0.45043114943733786,0.6325466611207461
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y025_049,188,325,184.70124006520976,0.5471065287530845,0.03668830986794316,0.4747164906071518,0.6175574298738157
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y025_049,167,297,157.80289538053643,0.5545249199172761,0.04002203912189298,0.4753767435761137,0.6310010298272638
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y025_049,237,609,334.41327709056395,0.5526946024313456,0.02813108656626695,0.4971358523371045,0.6069679306475894
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y025_049,13,13,9.121636906102632,0.4313552915713486,0.16666083000069074,0.16686355707472658,0.7418054241362967
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y025_049,248,688,366.9359731428698,0.4818974386798532,0.02510814803743366,0.4330189140351217,0.5311248826634829
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_019,13,14,7.38194677883157,0.3647068594722674,0.2101319874770124,0.08846330652572419,0.772513528278803
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_019,20,21,12.942438018179628,0.13555731138385135,0.09256458904982014,0.0322668943415096,0.4244659942437001
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_019,30,34,19.116140745541813,0.2444154004420893,0.1198381140946947,0.08313767690974665,0.5357425051880088
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_019,1,1,1,0,0,NA,NA
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_019,21,22,13.361267850543712,0.13312958355709462,0.09079369607089692,0.03181351969104146,0.4178514405920334
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_019,12,13,7.098127890366203,0.3725343397625559,0.21389964160445896,0.08989957330294494,0.7811092553898952
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_019,31,35,19.45877455244424,0.24202923617270736,0.1187890647903285,0.08235957438014896,0.5318414345095112
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_019,32,36,20.417957160670703,0.22786588543064729,0.113541200364254,0.076900592718572,0.5111034982266163
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y020_024,61,69,35.69794318137949,0.23522757214741333,0.06115243740518167,0.13642787852302232,0.37454476312157353
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y020_024,9,9,5.628801801434688,0.1307164531433599,0.132711188082989,0.01501266841314548,0.597355083484729
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y020_024,57,58,30.39467989679319,0.1963868815366412,0.0739817799611226,0.08884536354563705,0.37983527401586725
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y020_024,18,20,10.996516018145645,0.2973656756808532,0.1366670729639198,0.1050919703143318,0.6039945306196438
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y020_024,29,33,19.389212788624597,0.2131033823716155,0.0907425527132449,0.08573039296112243,0.4388770260402213
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y020_024,44,45,22.192824772090695,0.2275507075398796,0.09152356352552617,0.09597755148149542,0.4497584613816988
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y020_024,66,74,38.67278652346984,0.23222833189182773,0.05886358939877191,0.1367162566030509,0.3661644830781112
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y020_024,4,4,3.1117868071029657,0,0,NA,NA
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y020_024,77,86,46.24955079572607,0.19828522129358497,0.05220295409350218,0.1149983787762964,0.32007626183818283
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y025_029,87,109,63.36885583990161,0.3627703155204241,0.0596362425153767,0.2555956445678415,0.4855707967370757
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y025_029,10,10,6.5874194785146685,0.15510259923655947,0.11231144770970168,0.03308932307264534,0.4961597532021484
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y025_029,67,85,48.00265155652167,0.3050447005803229,0.06150460508246431,0.1990844292126918,0.43665425026801225
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y025_029,32,34,22.958324185173364,0.43348348158502265,0.11126114034393252,0.23946055687882725,0.6502945454080441
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y025_029,41,48,30.347690399248577,0.3710675252593525,0.0877441676046084,0.2201931332487702,0.5521253122816158
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y025_029,60,71,39.33246916314633,0.3148921896357739,0.07501218097799475,0.18864553640882023,0.4760541993100616
art_coverage,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y025_029,89,115,66.8313993306528,0.32527868279338107,0.05325851447620197,0.23054539876555813,0.4368390291514393
